iteration,participants,polls,Poll Execution Time,Poll Memory Usage,Poll size of all Options,Poll Size of all Participants,Poll Size of poll,Mining Execution Time,Mining Memory Usage
 1, 100, 1,132.508666ms,1450824,3,100,12257,245.583µs,20856
 1, 100, 5,462.005625ms,519944,15,500,60976,1.215916ms,104296
 1, 100, 10,829.814708ms,18446744073709434744,27,1000,121780,2.313833ms,208592
 1, 100, 100,6.59453825s,475424,294,10000,1220152,22.765291ms,18446744073709447536
 1, 100, 1000,1m24.453608209s,8115736,2965,100000,12203354,227.870125ms,18446744073703192560
 1, 100, 10000,13m39.683482875s,126263000,30195,1000000,122056019,2.300607417s,18446744073668892792
 1, 1000, 1,87.782667ms,2907136,4,1000,94189,341.791µs,106872
 1, 1000, 5,502.977959ms,20570768,13,5000,470539,1.626458ms,534376
 1, 1000, 10,936.801417ms,34680792,30,10000,941023,2.974ms,1068752
 1, 1000, 100,8.047654208s,18446744073517380608,307,100000,9410826,30.811458ms,316008
 1, 1000, 1000,1m23.892511417s,15118016,2997,1000000,94105482,308.268083ms,14925168
 1, 1000, 10000,13m48.298917708s,885919008,29797,10000000,941048513,3.175998959s,159389408
 1, 10000, 1,17.233542ms,7062128,2,10000,913067,1.16025ms,926088
 1, 10000, 5,410.214834ms,33115280,13,50000,4565402,5.484208ms,4630376
 1, 10000, 10,961.037542ms,68172512,29,100000,9131050,10.9005ms,9260736
 1, 10000, 100,8.244251959s,18446744072448478120,293,1000000,91310243,115.941ms,18446744073706515912
 1, 10000, 1000,1m27.792659334s,709751064,3015,10000000,913106657,1.170342166s,36959056
 1, 10000, 10000,14m33.248007167s,5724482168,29981,100000000,9131055675,16.237206667s,445353984
